[
 [19, 27, 38, 93, 53, 31, 71, 15, 82, 27, 89, 1, 38, 36, 67, 68, 81, 80, 0, 11, 19, 44, 15, 99, 49, 2, 94, 18, 91, 71, 76, 6, 28, 55, 30, 57, 2, 23, 34, 17, 18, 7, 69, 86, 20, 34, 92, 56, 1, 18, 18, 36, 91, 96, 54, 86, 6, 78, 9, 27, 2, 96, 44, 37, 73, 81, 11, 9, 97, 29, 39, 84, 76, 4, 43, 57, 65, 55, 88, 93, 88, 97, 82, 7, 60, 2, 39, 13, 61, 85, 76, 63, 62, 13, 19, 57, 46, 7, 41, 20],
 [35, 31, 16, 41, 15, 76, 88, 52, 86, 38, 44, 17, 11, 32, 21, 71, 55, 49, 25, 93, 83, 6, 33, 27, 70, 75, 30, 30, 15, 41, 21, 83, 34, 50, 88, 75, 42, 59, 10, 28, 99, 29, 57, 54, 25, 21, 6, 42, 88, 37, 83, 98, 47, 7, 58, 82, 56, 58, 62, 36, 92, 15, 56, 11, 86, 49, 73, 73, 37, 89, 45, 69, 77, 6, 18, 57, 89, 80, 13, 59, 87, 19, 61, 49, 71, 88, 61, 81, 90, 1, 68, 62, 28, 81, 58, 27, 26, 8, 23, 27],
 [59, 3, 51, 98, 75, 90, 77, 46, 76, 27, 38, 38, 6, 18, 55, 8, 55, 93, 86, 35, 8, 13, 3, 79, 2, 4, 33, 57, 41, 4, 25, 19, 42, 74, 22, 37, 46, 86, 69, 25, 84, 56, 58, 49, 60, 59, 98, 54, 63, 68, 6, 11, 70, 16, 23, 65, 88, 94, 20, 22, 23, 52, 25, 19, 9, 10, 79, 75, 4, 55, 93, 42, 37, 43, 90, 40, 57, 98, 97, 37, 98, 36, 35, 65, 14, 86, 85, 66, 13, 78, 95, 77, 8, 27, 22, 55, 3, 50, 12, 79],
 [21, 47, 98, 42, 8, 73, 23, 56, 52, 47, 88, 5, 76, 21, 59, 39, 63, 80, 84, 39, 1, 98, 7, 30, 66, 14, 19, 19, 85, 55, 32, 16, 73, 13, 76, 6, 82, 6, 94, 71, 74, 76, 17, 67, 85, 86, 22, 65, 65, 5, 62, 55, 66, 22, 23, 28, 71, 25, 3, 20, 28, 95, 7, 68, 10, 67, 43, 83, 59, 98, 70, 63, 76, 73, 32, 7, 32, 35, 28, 77, 82, 97, 88, 43, 34, 5, 16, 11, 1, 27, 33, 0, 56, 95, 33, 24, 97, 1, 59, 51],
 [80, 57, 65, 95, 34, 21, 90, 54, 96, 6, 4, 84, 36, 90, 29, 62, 44, 22, 59, 54, 64, 42, 43, 22, 14, 89, 40, 74, 23, 81, 24, 95, 76, 93, 0, 14, 71, 51, 38, 27, 51, 47, 2, 91, 24, 79, 18, 28, 79, 40, 75, 23, 84, 30, 92, 41, 17, 47, 49, 56, 98, 12, 68, 41, 51, 11, 5, 11, 89, 28, 37, 2, 94, 32, 91, 81, 16, 49, 52, 8, 47, 78, 53, 98, 46, 37, 10, 39, 6, 64, 57, 21, 36, 56, 63, 78, 0, 13, 83, 24],
 [9, 9, 90, 36, 89, 67, 29, 25, 75, 16, 12, 23, 61, 43, 68, 92, 5, 69, 18, 59, 42, 62, 10, 63, 71, 4, 78, 57, 83, 85, 49, 82, 53, 84, 14, 50, 90, 34, 58, 7, 10, 35, 1, 19, 12, 23, 53, 5, 20, 66, 14, 30, 42, 63, 13, 24, 65, 91, 78, 50, 83, 78, 33, 53, 26, 62, 17, 46, 56, 93, 27, 27, 31, 85, 80, 79, 58, 55, 23, 73, 77, 8, 22, 51, 46, 76, 70, 7, 34, 99, 82, 83, 86, 26, 8, 3, 26, 35, 0, 32],
 [52, 83, 68, 35, 37, 62, 88, 60, 63, 91, 48, 43, 57, 26, 83, 82, 70, 97, 24, 93, 55, 56, 7, 32, 33, 94, 88, 58, 65, 93, 60, 44, 29, 28, 66, 13, 18, 29, 5, 78, 49, 22, 38, 20, 87, 64, 23, 4, 67, 52, 66, 80, 73, 39, 43, 38, 94, 36, 57, 66, 42, 51, 7, 66, 58, 9, 31, 98, 52, 10, 19, 88, 96, 19, 5, 90, 9, 26, 17, 93, 41, 5, 5, 79, 44, 47, 28, 36, 26, 27, 49, 55, 80, 8, 50, 6, 38, 9, 25, 86],
 [34, 5, 17, 50, 41, 92, 14, 14, 73, 90, 49, 19, 51, 97, 78, 3, 17, 23, 32, 33, 43, 44, 60, 27, 72, 57, 31, 80, 17, 72, 90, 68, 74, 22, 90, 52, 35, 94, 4, 76, 34, 6, 98, 69, 89, 22, 52, 90, 69, 61, 80, 51, 42, 68, 75, 74, 5, 50, 72, 96, 31, 64, 80, 39, 70, 1, 48, 95, 83, 13, 18, 97, 46, 79, 64, 4, 28, 26, 61, 44, 57, 10, 57, 14, 77, 44, 37, 3, 89, 86, 71, 64, 48, 21, 92, 22, 99, 74, 68, 90],
 [89, 75, 62, 18, 9, 35, 12, 25, 19, 80, 53, 33, 2, 6, 93, 49, 16, 63, 73, 8, 10, 80, 82, 51, 23, 74, 10, 56, 79, 81, 13, 51, 20, 75, 74, 92, 58, 61, 87, 75, 94, 68, 37, 73, 72, 91, 27, 70, 85, 97, 23, 13, 64, 56, 32, 59, 77, 82, 58, 60, 87, 36, 85, 26, 10, 81, 78, 36, 24, 57, 96, 52, 20, 95, 68, 47, 58, 72, 31, 5, 66, 72, 51, 84, 70, 30, 32, 50, 88, 48, 75, 24, 47, 61, 17, 77, 7, 93, 37, 24],
 [61, 2, 28, 79, 49, 16, 47, 56, 37, 13, 66, 68, 38, 62, 86, 76, 18, 53, 40, 51, 7, 90, 60, 16, 22, 64, 75, 55, 4, 35, 89, 60, 6, 46, 9, 12, 86, 8, 55, 23, 40, 66, 92, 87, 49, 90, 73, 54, 33, 78, 15, 86, 23, 65, 85, 73, 44, 31, 87, 10, 95, 2, 61, 81, 81, 72, 16, 68, 3, 67, 13, 46, 66, 86, 67, 68, 78, 55, 0, 67, 37, 34, 79, 16, 17, 74, 62, 41, 89, 39, 75, 41, 74, 3, 33, 33, 31, 23, 87, 58],
 [89, 71, 39, 66, 21, 49, 63, 20, 93, 65, 81, 21, 90, 66, 37, 5, 49, 9, 61, 8, 25, 66, 59, 29, 2, 46, 75, 56, 38, 51, 91, 86, 50, 52, 29, 25, 12, 67, 2, 84, 21, 42, 45, 24, 4, 42, 10, 76, 81, 1, 23, 52, 85, 66, 19, 94, 20, 69, 83, 69, 43, 61, 20, 97, 39, 16, 42, 53, 72, 7, 34, 53, 41, 82, 19, 95, 25, 2, 30, 30, 3, 29, 22, 65, 47, 6, 14, 61, 95, 63, 67, 66, 99, 83, 89, 8, 84, 38, 97, 5],
 [70, 64, 75, 3, 31, 69, 89, 60, 91, 86, 44, 6, 69, 91, 64, 91, 61, 82, 88, 70, 89, 32, 77, 5, 89, 98, 47, 62, 48, 94, 85, 6, 3, 82, 7, 47, 31, 65, 73, 72, 72, 79, 57, 6, 8, 37, 0, 56, 8, 12, 32, 28, 22, 75, 12, 75, 89, 58, 42, 54, 70, 82, 21, 80, 62, 38, 53, 1, 82, 62, 85, 41, 37, 15, 80, 7, 87, 78, 58, 55, 56, 26, 44, 42, 39, 9, 38, 40, 62, 17, 33, 81, 55, 48, 69, 75, 69, 18, 51, 6],
 [78, 30, 92, 20, 18, 63, 7, 51, 47, 87, 91, 41, 77, 28, 74, 1, 54, 38, 2, 84, 8, 81, 0, 16, 44, 58, 38, 92, 35, 89, 37, 44, 35, 18, 12, 30, 62, 42, 31, 61, 24, 41, 21, 96, 57, 5, 44, 1, 1, 48, 67, 63, 1, 25, 44, 48, 41, 11, 85, 70, 0, 83, 7, 99, 12, 26, 74, 72, 90, 86, 79, 62, 49, 88, 83, 87, 29, 57, 44, 13, 88, 96, 59, 32, 62, 65, 60, 59, 22, 42, 4, 37, 92, 97, 15, 97, 12, 75, 87, 10],
 [94, 75, 73, 65, 57, 79, 26, 4, 31, 54, 43, 58, 46, 96, 13, 25, 85, 49, 33, 3, 3, 26, 57, 30, 13, 82, 53, 32, 5, 0, 1, 32, 97, 32, 84, 80, 89, 4, 29, 65, 29, 33, 60, 81, 79, 17, 80, 78, 56, 9, 13, 81, 19, 60, 1, 47, 36, 19, 53, 50, 32, 97, 43, 2, 8, 15, 65, 90, 97, 42, 61, 77, 99, 71, 64, 56, 39, 19, 18, 9, 13, 50, 25, 29, 81, 52, 59, 88, 8, 96, 93, 52, 81, 94, 31, 37, 12, 8, 56, 20],
